2;454503;371,562 
3;457870;499,819 
2;462416;380,638 
2;466882;389,456 
2;471526;371,477 
2;476127;374,122 
2;480565;392,295 
3;484085;499,046 
2;488566;388,061 
2;493608;335,643 
2;498807;312,349 
3;501948;523,434 
3;505055;520,781 
2;509887;364,667 
2;514633;370,382 
2;519122;386,976 
2;523770;370,587 
2;528435;368,172 
2;533567;338,157 
3;537415;449,505 
3;540520;525,963 
2;545341;357,583 
2;549990;370,177 
2;554679;370,260 
2;559266;373,919 
2;563942;368,219 
3;567313;495,889 
2;571775;389,578 
2;576451;366,405 
2;581093;370,355 
2;585533;390,630 
3;588625;525,159 
2;593287;369,973 
2;597800;384,088 
2;602491;362,868 
2;607120;373,653 
2;611507;396,667 
2;616157;367,930 
3;619276;526,218 
2;624397;322,641 
2;629648;334,959 
3;632420;555,667 
2;637041;371,079 
2;641739;364,481 
2;646413;368,162 
2;650878;389,446 
2;655564;367,333 
3;658613;529,689 
2;661539;225,501 
2;661466;6,897 
3;677389;487,511 
4;679426;629,248 
3;682614;516,719 
3;685723;524,776 
2;690355;373,474 
2;694947;376,890 
2;699652;363,123 
2;704509;359,671 
3;707476;539,379 
2;712176;365,975 
2;716794;375,988 
2;721526;361,419 
2;726142;370,204 
3;729267;520,548 
2;733824;377,682 
2;738441;374,977 
2;743126;363,563 
2;747643;383,169 
2;752388;359,486 
3;756565;417,274 
3;759609;532,061 
2;764332;363,400 
2;768920;376,754 
2;773579;368,589 
2;778380;355,647 
3;781424;531,486 
2;786207;358,614 
2;790864;367,169 
2;795763;347,514 
3;799728;436,833 
3;802894;519,078 
2;807597;364,408 
2;812244;373,117 
2;817060;356,391 
2;821679;372,590 
2;826198;383,933 
3;829463;506,190 
2;834137;366,231 
2;838770;372,830 
2;843536;360,364 
2;848138;371,682 
3;851157;533,692 
2;855827;368,484 
2;860602;356,803 
2;865205;375,656 
2;869953;361,632 
3;873098;518,231 
2;877929;350,855 
2;882581;371,401 
2;887953;295,434 
3;890977;530,368 
3;894054;529,459 
2;898691;374,794 
2;903371;366,234 
2;907897;384,905 
2;912608;364,089 
2;917258;370,857 
2;921905;369,546 
3;924864;540,413 
2;929410;376,990 
2;934021;373,256 
2;938699;367,469 
2;943375;368,286 
2;948053;367,499 
3;951264;513,510 
2;955881;374,527 
2;960387;384,364 
2;965071;366,711 
2;969701;372,550 
3;972739;533,164 
2;977351;370,031 
2;981848;386,278 
2;986387;380,491 
2;990865;384,702 
2;995254;392,392 
2;995187;10,416 
3;1009844;207,893 
4;1011571;660,454 
4;1013570;631,425 
3;1017714;416,047 
3;1020827;519,470 
2;1025379;376,211 
2;1029948;377,884 
2;1034617;364,927 
2;1039247;370,581 
3;1042379;518,920 
2;1047040;365,076 
2;1051694;371,302 
2;1056487;362,370 
2;1061898;288,413 
3;1064842;537,920 
3;1068158;508,898 
2;1072830;367,687 
2;1077426;373,734 
2;1082424;348,563 
2;1087112;363,387 
3;1090365;506,816 
2;1094796;388,864 
2;1099405;368,962 
2;1104084;364,557 
2;1108712;370,495 
3;1111774;523,567 
2;1116524;354,970 
2;1121110;373,289 
2;1125724;371,206 
2;1130384;365,980 
3;1133430;527,459 
2;1138132;363,384 
2;1142936;354,110 
2;1148416;282,362 
3;1151609;517,314 
3;1154476;546,091 
2;1159113;368,883 
2;1163765;366,990 
2;1168469;365,492 
2;1173187;359,886 
2;1177821;370,290 
3;1180948;517,987 
2;1185563;362,919 
2;1194349;8,700 
3;1197399;525,828 
3;1200270;551,056 
3;1203188;538,373 
2;1207717;381,577 
2;1212183;384,963 
2;1216865;366,338 
2;1221533;365,616 
2;1226130;374,308 
3;1229183;525,932 
2;1233901;360,207 
2;1238562;366,474 
2;1243156;371,882 
3;1246175;530,174 
2;1250942;356,090 
2;1255548;373,026 
2;1260186;367,371 
2;1264827;370,457 
3;1268096;501,192 
2;1272853;356,887 
2;1278347;276,479 
3;1281446;520,983 
3;1284295;542,275 
2;1288951;362,838 
2;1293591;365,644 
2;1298225;365,203 
2;1302666;385,686 
2;1307281;366,742 
2;1311986;361,085 
2;1316614;367,279 
3;1320747;412,772 
3;1322309;226,505 
3;1332875;273,277 
